county_fips,county_name,state_abbr,year,num_establishments,total_employment,total_wages,taxable_wages,avg_weekly_wage,avg_annual_pay,employment_yoy_pct_change,wage_yoy_pct_change,location_quotient_employment,unemployment_rate,median_household_income
01001,"County 001, AL",AL,2023,761,2975,173239733,116791229,1125.43,58522.2,2.9,3.92,1.4837,5.51,66810.96
01002,"County 002, AL",AL,2023,1543,4518,254570861,202164802,1099.57,57177.71,0.57,3.03,0.884,5.64,72329.62
01003,"County 003, AL",AL,2023,15775,36077,1942815306,1348141227,1049.21,54558.66,3.78,3.59,0.7452,4.69,72576.8
01004,"County 004, AL",AL,2023,7953,39693,2315242544,1705174051,1145.96,59590.09,1.52,5.02,1.0239,5.31,74744.42
01005,"County 005, AL",AL,2023,2519,10764,584262153,428661802,1085.68,56455.47,3.38,0.77,0.8894,5.38,73108.51
01006,"County 006, AL",AL,2023,12414,48225,3130819464,2412861868,1260.01,65520.41,-1.87,2.14,1.1901,4.88,77709.05
01007,"County 007, AL",AL,2023,6837,19554,1177848648,712059465,1198.28,62310.81,0.01,1.65,1.1858,4.56,72874.77
01008,"County 008, AL",AL,2023,10355,28920,1619239279,1088715805,1062.89,55270.22,-2.66,1.42,0.7054,5.63,65116.64
01009,"County 009, AL",AL,2023,25149,110463,5525560444,3421859083,984.38,51187.66,0.11,5.31,0.5463,5.88,68995.56
01010,"County 010, AL",AL,2023,612,2368,145131079,104032801,1163.81,60518.01,0.36,1.96,1.0648,5.21,78801.48
01011,"County 011, AL",AL,2023,11604,27982,1561804864,1118583741,1029.59,53538.59,-2.48,4.94,0.9252,4.23,63786.91
01012,"County 012, AL",AL,2023,26714,52613,3283913666,2281327862,1191.77,61971.88,1.63,2.34,0.8647,4.46,71955.83
01013,"County 013, AL",AL,2023,5392,20849,959860549,629905372,870.37,45259.14,1.66,6.98,1.0467,6.63,62642.57
01014,"County 014, AL",AL,2023,945,3988,214119927,142053107,1001.64,52085.51,3.29,4.49,0.9467,5.45,64936.98
01015,"County 015, AL",AL,2023,1662,10534,648155797,504367941,1154.56,60037.31,0.66,4.31,1.5795,5.23,69734.59
01016,"County 016, AL",AL,2023,13115,26640,1267936470,791891733,939.63,48860.85,5.27,3.48,0.8745,6.82,61224.59
01017,"County 017, AL",AL,2023,9925,40234,2195228677,1417966706,1102.87,57349.06,1.19,4.96,0.4879,5.16,66363.36
01018,"County 018, AL",AL,2023,1200,5237,242330984,151396466,923.95,48045.46,2.18,2.93,0.8916,6.5,69083.47
01019,"County 019, AL",AL,2023,2967,10383,637603652,396066305,1165.32,60596.58,1.19,4.21,2.4136,6.53,67774.68
