geoid,county,state,electricity_rate,natural_gas_rate,energy_burden,solar_potential,ev_chargers
01001,Autauga,Alabama,0.146,1.38,4.8,78.0,24
01003,Baldwin,Alabama,0.142,1.34,4.3,80.5,68
04013,Maricopa,Arizona,0.155,1.62,3.9,93.2,1450
06037,Los Angeles,California,0.298,1.91,5.6,86.4,4200
06075,San Francisco,California,0.321,2.04,3.1,72.8,980
08031,Denver,Colorado,0.151,1.27,3.4,84.6,760
12086,Miami-Dade,Florida,0.167,1.58,5.9,88.3,1350
17031,Cook,Illinois,0.183,1.21,4.7,67.5,2100
25025,Suffolk,Massachusetts,0.287,2.18,4.1,61.2,820
36061,New York,New York,0.268,1.86,4.9,58.9,1850
37119,Mecklenburg,North Carolina,0.132,1.42,3.8,76.7,920
39049,Franklin,Ohio,0.161,1.16,4.2,64.8,780
42101,Philadelphia,Pennsylvania,0.176,1.48,5.8,62.4,610
48029,Bexar,Texas,0.149,1.33,5.1,87.9,1120
48201,Harris,Texas,0.153,1.29,5.3,86.5,1950
53033,King,Washington,0.118,1.72,2.8,55.6,1650
